name,id,source,placement_rule,pct_new_chunks_hosting_anchor,expected_per_1000x1000_blocks,average_spacing,biome_terrain_restrictions,sample,relative_std_error,note
Marsh Telephone Pole Farm,cat:marsh_phone_farm,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x176 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00003236,0.0013,"about 1 per 28,100 x 28,100 blocks","mode surface, tier 2; biomes: Ashveil Coast, Drowned Borough, Penitent Spillway, Blackreed Marsh, Sunken Convoy, Brine Lantern Mire, Leechwater Depths, Drowned Oath Fen, III - Gluttony: Carrion Slough, V - Wrath: Styx Blackwater","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,264 sites",2.81%,
Reservoir High School,cat:reservoir_high_school,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002271,0.0009,"about 1 per 33,600 x 33,600 blocks","mode surface, tier 3; biomes: Ashveil Coast, Drowned Borough, Whiteout Reservoir, Penitent Spillway, Signalwreck Coast, Blackreed Marsh, Brine Lantern Mire, Drowned Oath Fen, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 887 sites",3.36%,
Urban Technical Campus,cat:urban_technical_campus,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001877,0.0007,"about 1 per 36,900 x 36,900 blocks","mode surface, tier 3; biomes: Rustwater Ward, Gutterglass Schoolgrounds, Bloomfall Tenements, Abandoned Cordon, Oxide Railgrave, Capitol Ossuary, Neon Dust Basin, Shelterfall Terraces, Iron Convoy Barrens, Boomtown After Midnight, Endless Night Boulevard","956,483 legacy + 6,801,654 expansion regions (1,000k square); 733 sites",3.69%,
Monastic School and Scriptorium,cat:monastic_school,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002358,0.0009,"about 1 per 33,000 x 33,000 blocks","mode surface, tier 3; biomes: Palimpsest Vaultlands, Red Blossom Hollow, Hollow Crown Borough, Rootbound Sanctuary, Forgotten Monarch Shore, Frostcrown Ramparts, Cathedral of the Last Ember, Bastion of the Unburied, I - Limbo: Mourning Fields, VI - Heresy: Sepulcher of Embers, VII - Violence: Thornblood Reach","956,483 legacy + 6,801,654 expansion regions (1,000k square); 921 sites",3.30%,
Woodland Boarding School,cat:woodland_boarding_school,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002291,0.0009,"about 1 per 33,400 x 33,400 blocks","mode surface, tier 2; biomes: Cinder Hospice, Sanguine Exclusion Forest, Bitter Orchard, Vaultroot Gardens, Cabin of the Listening Pines, Bloodroot Timberland, Deadward Asylum, Possessed Orchard, Mirrorward Thicket, Kandarian Hunting Grounds","956,483 legacy + 6,801,654 expansion regions (1,000k square); 895 sites",3.34%,
Canal Grid Metropolis,cat:canal_grid_metropolis,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 140x236 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001331,0.0005,"about 1 per 43,900 x 43,900 blocks","mode surface, tier 5; biomes: Ashveil Coast, Rustwater Ward, Drowned Borough, Bloomfall Tenements, Signalwreck Coast, Capitol Ossuary, Brine Lantern Mire, Endless Night Boulevard","956,483 legacy + 6,801,654 expansion regions (1,000k square); 520 sites",4.39%,
Radial Civic City,cat:radial_civic_city,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 128x236 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001288,0.0005,"about 1 per 44,600 x 44,600 blocks","mode surface, tier 5; biomes: Oxide Railgrave, Bleached Expanse, Capitol Ossuary, Neon Dust Basin, Viridian Blastlands, Iron Convoy Barrens, Gilded Hush, Carousel Wastes, Boomtown After Midnight","956,483 legacy + 6,801,654 expansion regions (1,000k square); 503 sites",4.46%,
Mountain Bridge City,cat:mountain_bridge_city,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002179,0.0009,"about 1 per 34,300 x 34,300 blocks","mode surface, tier 5; biomes: Tenement Wound, Gravity Scar, Coalbreath Ridges, Brotherhood Slagfields, Hollow Crown Borough, Blackgutter Chasm, Frostcrown Ramparts, Ringfall Cinders, II - Lust: The Unceasing Gale, IV - Greed: The Burdened Quarry, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 851 sites",3.43%,
Fortified Market City,cat:fortified_market_city,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001549,0.0006,"about 1 per 40,700 x 40,700 blocks","mode surface, tier 4; biomes: Abandoned Cordon, Bitter Orchard, Shelterfall Terraces, Rootbound Sanctuary, Forgotten Monarch Shore, Cathedral of the Last Ember, Bastion of the Unburied, Kandarian Hunting Grounds, I - Limbo: Mourning Fields","956,483 legacy + 6,801,654 expansion regions (1,000k square); 605 sites",4.07%,
Triple Bailey Castle,cat:triple_bailey_castle,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 116x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002115,0.0008,"about 1 per 34,800 x 34,800 blocks","mode surface, tier 5; biomes: Sanguine Exclusion Forest, Brotherhood Slagfields, Hollow Crown Borough, Rootbound Sanctuary, Cinderlake Shelf, Forgotten Monarch Shore, Frostcrown Ramparts, Ringfall Cinders, Cathedral of the Last Ember, Bastion of the Unburied, Kandarian Hunting Grounds, VII - Violence: Thornblood Reach","956,483 legacy + 6,801,654 expansion regions (1,000k square); 826 sites",3.48%,
River Gate Castle,cat:river_gate_castle,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002524,0.0010,"about 1 per 31,800 x 31,800 blocks","mode surface, tier 4; biomes: Ashveil Coast, Penitent Spillway, Blackreed Marsh, Brine Lantern Mire, Leechwater Depths, Forgotten Monarch Shore, Drowned Oath Fen, III - Gluttony: Carrion Slough, V - Wrath: Styx Blackwater, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 986 sites",3.18%,
Quarry Battle Spire and Barracks,cat:quarry_battle_spire,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002181,0.0009,"about 1 per 34,300 x 34,300 blocks","mode surface, tier 4; biomes: Gravity Scar, Glass Reactor, Bleached Expanse, Viridian Blastlands, Coalbreath Ridges, Brotherhood Slagfields, Cinderlake Shelf, Bastion of the Unburied, II - Lust: The Unceasing Gale, IV - Greed: The Burdened Quarry, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 852 sites",3.43%,
Paired Bell Battle Towers,cat:paired_bell_towers,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002901,0.0011,"about 1 per 29,700 x 29,700 blocks","mode surface, tier 4; biomes: Palimpsest Vaultlands, Red Blossom Hollow, Sanguine Exclusion Forest, Hollow Crown Borough, Rootbound Sanctuary, Forgotten Monarch Shore, Frostcrown Ramparts, Ringfall Cinders, Cathedral of the Last Ember, I - Limbo: Mourning Fields, VI - Heresy: Sepulcher of Embers, VII - Violence: Thornblood Reach, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,133 sites",2.97%,
Ward Drain Network,cat:ward_drain_network,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002601,0.0010,"about 1 per 31,400 x 31,400 blocks","mode buried, tier 3; biomes: Rustwater Ward, Gutterglass Schoolgrounds, Drowned Borough, Penitent Spillway, Bloomfall Tenements, Oxide Railgrave, Capitol Ossuary, Shelterfall Terraces, Carousel Wastes, Boomtown After Midnight, Deadward Asylum, Endless Night Boulevard, Mirrorward Thicket","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,016 sites",3.14%,
Marsh Pump Labyrinth,cat:marsh_pump_labyrinth,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002657,0.0010,"about 1 per 31,000 x 31,000 blocks","mode buried, tier 4; biomes: Ashveil Coast, Penitent Spillway, Blackreed Marsh, Sunken Convoy, Brine Lantern Mire, Leechwater Depths, Drowned Oath Fen, III - Gluttony: Carrion Slough, V - Wrath: Styx Blackwater","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,038 sites",3.10%,
Inverted-Tree Crypt,cat:crypt_inverted_tree,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002565,0.0010,"about 1 per 31,600 x 31,600 blocks","mode buried, tier 4; biomes: Palimpsest Vaultlands, Sanguine Exclusion Forest, Hollow Crown Borough, Rootbound Sanctuary, Cinderlake Shelf, Forgotten Monarch Shore, Ringfall Cinders, Cathedral of the Last Ember, Bastion of the Unburied, I - Limbo: Mourning Fields, VI - Heresy: Sepulcher of Embers, VII - Violence: Thornblood Reach, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,002 sites",3.16%,
Spiral Prison Dungeon,cat:spiral_prison_dungeon,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002729,0.0011,"about 1 per 30,600 x 30,600 blocks","mode buried, tier 5; biomes: Tenement Wound, Palimpsest Vaultlands, Gravity Scar, Glass Reactor, Viridian Blastlands, Coalbreath Ridges, Gilded Hush, Blackgutter Chasm, Deadward Asylum, Mirrorward Thicket, II - Lust: The Unceasing Gale, IV - Greed: The Burdened Quarry, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,066 sites",3.06%,
Command Horseshoe Bunker,cat:command_horseshoe_bunker,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001966,0.0008,"about 1 per 36,100 x 36,100 blocks","mode buried, tier 4; biomes: Abandoned Cordon, Dead Array, Oxide Railgrave, Glass Reactor, Bleached Expanse, Viridian Blastlands, Coalbreath Ridges, Iron Convoy Barrens, Brotherhood Slagfields, Bastion of the Unburied, IV - Greed: The Burdened Quarry","956,483 legacy + 6,801,654 expansion regions (1,000k square); 768 sites",3.61%,
